,da_number,cwa_determination,slopegradd,slopegradw,brockdepmi,wtdepannmi,wtdepaprju,flodfreqdc,flodfreqma,pondfreqpr,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswet,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdc,urbrecptwt,forpehrtdc,hydclprs,awmmfpwwta
5222,MVP-2018-02664-RAN,0,1.0,1.0,0.0,18.0,18.0,0.0,0.0,4.0,5.26,9.41,18.12,27.53,3.0,3.0,6.0,,100.0,2.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0
5223,MVP-2018-02681-RJH,0,1.0,1.0,0.0,66.0,66.0,0.0,0.0,0.0,5.65,10.9,21.4,29.57,4.0,4.0,1.0,,100.0,1.0,85.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.026,1.0,0.0,0.979
5224,MVP-2018-02689-DJM,0,1.0,0.9,0.0,61.0,61.0,0.0,0.0,10.0,5.75,11.14,20.01,22.59,3.0,3.0,2.0,,100.0,1.0,90.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.026,1.0,10.0,1.0
5225,MVP-2018-02706-KDZ,0,1.5,1.5,77.0,61.0,61.0,4.0,4.0,0.0,3.45,6.7,8.03,8.03,3.0,3.0,1.0,,100.0,3.0,99.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.4,1.0,1.0,1.0
5226,MVP-2018-02720-DJM,0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,93.0,5.56,10.95,20.95,25.39,2.0,2.0,5.0,,100.0,6.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.961,1.0,93.0,1.0
5227,MVP-2018-02724-MHK,0,0.5,0.5,0.0,15.0,15.0,0.0,0.0,97.0,4.22,7.85,14.32,20.23,2.0,2.0,6.0,,100.0,2.0,92.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,97.0,1.0
5228,MVP-2018-02814-JLK,0,1.0,1.2,0.0,30.0,30.0,2.0,2.0,94.0,4.85,7.3,11.64,14.15,3.0,3.0,3.0,,100.0,2.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.942,1.0,4.0,1.0
5229,MVP-2018-02816-JLK,0,4.0,4.0,0.0,30.0,30.0,0.0,0.0,100.0,5.5,9.5,15.82,20.32,3.0,3.0,6.0,,100.0,2.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0
5230,MVP-2018-02862-KJH,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,10.5,19.84,28.84,5.0,5.0,1.0,,100.0,2.0,100.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.1,2.0,0.0,0.034
5231,MVP-2018-02877-JLK,0,1.0,1.2,0.0,30.0,30.0,2.0,2.0,94.0,4.85,7.3,11.64,14.15,3.0,3.0,3.0,,100.0,2.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.942,1.0,4.0,1.0
5232,MVP-2018-02916-AIS,0,4.0,4.0,0.0,178.0,178.0,0.0,0.0,0.0,2.07,3.82,6.85,9.85,5.0,5.0,0.0,,100.0,4.0,100.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.789,1.0,0.0,1.0
