,da_number,wb_area_sum_2500m,wb_gnis_name_ind_count_2500m,wb_ftype_artificialpath_2500m,wb_ftype_canalditch_2500m,wb_ftype_coastline_2500m,wb_ftype_connector_2500m,wb_ftype_pipeline_2500m,wb_ftype_streamriver_2500m,fl_areasqkm_sum_2500m,fl_gnis_name_ind_count_2500m,fl_totdasqkm_sum_2500m,fl_flow_type_count_2500m,fl_streamorde_sum_2500m,fl_intephem_sum_2500m,fl_startflag_sum_2500m,fl_divergence_sum_2500m,fl_length_sum_2500m,fl_ftype_artificialpath_2500m,fl_ftype_canalditch_2500m,fl_ftype_coastline_2500m,fl_ftype_connector_2500m,fl_ftype_pipeline_2500m,fl_ftype_streamriver_2500m,wb_area_sum_200m,wb_gnis_name_ind_count_200m,wb_ftype_artificialpath_200m,wb_ftype_canalditch_200m,wb_ftype_coastline_200m,wb_ftype_connector_200m,wb_ftype_pipeline_200m,wb_ftype_streamriver_200m,fl_areasqkm_sum_200m,fl_gnis_name_ind_count_200m,fl_totdasqkm_sum_200m,fl_flow_type_count_200m,fl_streamorde_sum_200m,fl_intephem_sum_200m,fl_startflag_sum_200m,fl_divergence_sum_200m,fl_length_sum_200m,fl_ftype_artificialpath_200m,fl_ftype_canalditch_200m,fl_ftype_coastline_200m,fl_ftype_connector_200m,fl_ftype_pipeline_200m,fl_ftype_streamriver_200m
35,LRB-2010-01504,0.0,0,0,0,0,0,0,0,12.4173,3,96.5295,3,5,1,1,0,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
36,LRB-2010-01519,0.06,0,0,1,0,0,0,0,17.496,14,7586.2854,14,26,6,3,0,,1,2,0,0,0,11,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
37,LRB-2010-01556,0.0,0,0,0,0,0,0,0,15.4908,11,419.967,11,23,4,5,0,0.0,0,0,0,0,0,11,0.0,0,0,0,0,0,0,0,4.7061,1,4.7061,1,1,0,1,0,0.0,0,0,0,0,0,1
38,LRB-2010-01656,0.06,0,0,1,0,0,0,0,13.6107,6,7485.9777,6,8,3,2,0,,1,1,0,0,0,4,0.0,0,0,0,0,0,0,0,2.6415,1,2.6415,1,1,1,1,0,0.0,0,0,0,0,0,1
39,LRB-2010-01696,12047.72,1,0,6,0,0,0,2,8.8245,8,-29980.0638,8,2,0,0,0,,0,4,4,0,0,1,12045.529,1,0,1,0,0,0,0,4.0968,2,-19998.0,2,0,0,0,0,,0,0,3,0,0,0
40,LRB-2011-00230,5.561,1,0,0,0,0,0,3,12.8088,7,1085.3181,7,22,0,0,2,,0,0,0,0,0,7,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
41,LRB-2011-00919,0.0,0,0,0,0,0,0,0,20.3697,12,2264.6835,12,41,2,2,3,0.0,0,0,0,0,0,12,0.0,0,0,0,0,0,0,0,1.8333,3,660.4587,3,9,0,0,2,0.0,0,0,0,0,0,3
42,LRB-2012-00081,0.0,0,0,0,0,0,0,0,12.7512,9,2036.4786,9,29,3,3,0,0.0,0,0,0,0,0,9,0.0,0,0,0,0,0,0,0,4.9842,4,1219.3956,4,16,1,1,0,0.0,0,0,0,0,0,4
43,LRB-2012-00241,4.93,1,0,1,0,0,0,1,0.0,1,0.0,1,0,0,0,0,,0,0,0,0,0,1,4.749,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0
44,LRB-2012-00668,0.0,0,0,0,0,0,0,0,20.5299,7,196.8714,7,15,1,1,0,0.0,0,0,0,0,0,7,0.0,0,0,0,0,0,0,0,13.4649,1,72.3447,1,3,0,0,0,0.0,0,0,0,0,0,1
