,da_number,district,longitude,latitude,cwa_determination,potential_wetland,county,state
214,LRB-2016-01188,0,-76.38336,42.88438,1,0,28,36.0
215,LRB-2016-01228,0,-78.77289,43.00715,1,0,3,36.0
216,LRB-2016-01232,0,-76.38424,42.88567,1,0,28,36.0
217,LRB-2016-01260,0,-78.98322,43.03705,1,1,3,36.0
218,LRB-2016-01309,0,-81.40375,41.5177,1,0,8,39.0
219,LRB-2016-01312,0,-83.16898,40.77084,1,0,48,39.0
220,LRB-2016-01313,0,-81.46919,41.49306,0,1,8,39.0
221,LRB-2016-01321,0,-81.46235,41.61554,1,0,12,39.0
222,LRB-2016-01337,0,-78.69823,43.01825,1,1,3,36.0
223,LRB-2016-01365,0,-82.03633,41.36895,1,1,10,39.0
224,LRB-2016-01383,0,-78.72333,42.98233,1,1,3,36.0
225,LRB-2016-01384,0,-79.01259,43.16273,1,1,4,36.0
226,LRB-2016-01400,0,-81.91273,41.48663,0,0,8,39.0
227,LRB-2016-01405,0,-75.14993,43.19404,0,1,34,36.0
228,LRB-2016-01413,0,-76.18899,43.13763,0,1,28,36.0
229,LRB-2016-01511,0,-83.9466,40.76314,0,1,41,39.0
230,LRB-2017-00132,0,-82.21169,41.4215,0,1,10,39.0
231,LRB-2017-00139,0,-81.5017,41.4398,0,0,8,39.0
232,LRB-2017-00212,0,-78.14298,43.37494,0,0,19,36.0
233,LRB-2017-00219,0,-75.69917,43.08944,0,1,1,36.0
234,LRB-2017-00243,0,-82.26036,41.11485,1,1,10,39.0
235,LRB-2017-00267,0,-75.41387,43.30789,0,0,34,36.0
236,LRB-2017-00298,0,-77.34947,43.2292,1,1,27,36.0
237,LRB-2017-00331,0,-76.31064,43.1765,1,0,28,36.0
238,LRB-2017-00387,0,-78.81836,43.03671,0,1,3,36.0
239,LRB-2017-00396,0,-81.68518,41.40648,0,0,8,39.0
240,LRB-2017-00432,0,-83.72031,41.62495,1,1,16,39.0
241,LRB-2017-00435,0,-79.3228,42.46974,1,1,29,36.0
242,LRB-2017-00447,0,-84.12198,40.69031,0,1,41,39.0
243,LRB-2017-00449,0,-76.00449,43.99682,0,1,40,36.0
244,LRB-2017-00505,0,-82.58576,41.39666,1,1,3,39.0
245,LRB-2017-00543,0,-77.91109,43.20976,0,0,23,36.0
246,LRB-2017-00576,0,-78.73415,42.84914,1,1,3,36.0
247,LRB-2017-00607,0,-75.09185,43.03888,0,1,20,36.0
248,LRB-2017-00636,0,-81.98838,41.37899,0,1,10,39.0
249,LRB-2017-00639,0,-77.67048,43.06587,0,1,23,36.0
250,LRB-2017-00704,0,-83.31277,41.53496,0,1,14,39.0
251,LRB-2017-00709,0,-82.02228,41.40392,0,0,10,39.0
252,LRB-2017-00783,0,-77.35111,42.96098,1,1,17,36.0
253,LRB-2017-00804,0,-77.35292,42.97308,1,1,17,36.0
254,LRB-2017-00819,0,-81.94265,41.38862,0,1,8,39.0
255,LRB-2017-00829,0,-75.46098,43.20325,0,1,34,36.0
256,LRB-2017-00837,0,-81.98954,41.37287,0,1,10,39.0
257,LRB-2017-00872,0,-78.041,43.2221,0,1,19,36.0
258,LRB-2017-00902,0,-78.94243,42.47639,1,1,3,36.0
259,LRB-2017-00927,0,-76.66151,42.53553,0,1,21,36.0
260,LRB-2017-00947,0,-78.17258,43.24535,0,1,19,36.0
261,LRB-2017-00953,0,-81.77781,41.36184,0,0,8,39.0
262,LRB-2017-00981,0,-77.6897,43.0769,0,1,23,36.0
263,LRB-2017-01038,0,-78.85793,42.74991,0,1,3,36.0
264,LRB-2017-01065,0,-76.81468,42.175,1,1,47,36.0
265,LRB-2017-01100,0,-75.23794,42.96738,0,1,34,36.0
266,LRB-2017-01117,0,-77.62972,43.0705,0,1,23,36.0
267,LRB-2017-01145,0,-78.41145,42.96025,1,1,24,36.0
268,LRB-2017-01408,0,-83.65066,41.19365,1,0,33,39.0
269,LRB-2017-01420,0,-75.23912,42.96657,0,1,34,36.0
270,LRB-2018-00143,0,-83.5254,41.6116,0,1,33,39.0
271,LRB-2018-00180,0,-80.85402,41.85236,0,1,35,39.0
272,LRB-2018-00309,0,-83.8025,41.5131,0,0,16,39.0
273,LRB-2018-00324,0,-76.45,42.73087,0,0,0,36.0
274,LRB-2018-00568,0,-75.97585,43.09642,0,0,1,36.0
275,LRB-2018-00595,0,-81.26963,41.74517,0,1,12,39.0
276,LRB-2018-00680,0,-75.3975,42.8762,0,0,34,36.0
277,LRB-2018-00829,0,-75.69462,44.44899,0,0,6,36.0
278,LRB-2019-01163,0,-76.05881,43.1002,0,1,28,36.0
279,LRB-2019-01296,0,-78.692,43.0895,0,1,4,36.0
280,LRB-2020-00097,0,-76.35353,43.14349,0,1,28,36.0
281,LRB-2020-00187,0,-77.87288,42.98544,0,0,13,36.0
282,LRB-2020-00188,0,-77.87524,42.98863,0,0,13,36.0
283,LRB-2020-00296,0,-76.22577,42.08539,0,1,31,36.0
284,LRB-2020-00412,0,-77.51803,42.98742,1,1,23,36.0
285,LRB-2020-00443,0,-81.19465,41.47134,0,1,18,39.0
286,LRB-2020-00450,0,-77.98755,43.18415,0,0,23,36.0
287,LRB-2020-00522,0,-81.31268,41.71118,0,0,12,39.0
288,LRB-2020-00571,0,-81.35758,41.28726,0,0,15,39.0
289,LRC-2000-20891,1,-87.78312,42.12292,1,0,49,17.0
290,LRC-2003-12270,1,-88.49522,41.74013,0,1,50,17.0
291,LRC-2003-22227,1,-88.60689,42.39369,1,0,51,17.0
292,LRC-2004-22513,1,-88.00759,41.48937,1,0,52,17.0
293,LRC-2004-22750,1,-88.4073,42.07879,1,1,50,17.0
294,LRC-2005-13219,1,-88.34753,41.86114,1,1,50,17.0
295,LRC-2005-23204,1,-88.17125,41.58894,1,1,52,17.0
296,LRC-2006-01008,1,-88.22388,42.33277,0,1,51,17.0
297,LRC-2006-01217,1,-88.3046,41.79953,1,1,50,17.0
298,LRC-2006-01350,1,-88.08273,41.99348,0,1,49,17.0
299,LRC-2007-00460,1,-88.29214,41.86262,0,1,50,17.0
300,LRC-2007-00808,1,-88.44221,42.13399,1,1,50,17.0
301,LRC-2008-00098,1,-88.19283,41.4479,0,1,52,17.0
302,LRC-2008-00575,1,-88.38995,41.73785,0,1,50,17.0
303,LRC-2008-00612,1,-88.13129,42.07441,1,1,49,17.0
304,LRC-2009-00071,1,-88.13288,41.25092,1,0,52,17.0
305,LRC-2009-00126,1,-88.23855,41.79746,0,1,53,17.0
306,LRC-2009-00550,1,-88.29604,41.73953,1,0,50,17.0
307,LRC-2009-00552,1,-88.47109,42.09406,1,0,50,17.0
308,LRC-2009-00660,1,-88.26699,41.87298,0,1,50,17.0
309,LRC-2010-00394,1,-88.22098,41.27294,1,0,52,17.0
310,LRC-2010-00518,1,-87.88432,42.47754,1,1,12,17.0
311,LRC-2011-00802,1,-87.55295,41.63336,0,1,49,17.0
312,LRC-2012-00060,1,-88.34094,42.03969,1,0,50,17.0
313,LRC-2012-00278,1,-87.93989,41.73168,0,1,53,17.0
314,LRC-2012-00566,1,-87.92079,41.5101,1,1,52,17.0
315,LRC-2012-00698,1,-87.94169,42.00225,1,1,49,17.0
316,LRC-2012-00801,1,-87.74183,42.00753,0,1,49,17.0
317,LRC-2013-00161,1,-87.69678,41.94973,1,0,49,17.0
318,LRC-2013-00437,1,-88.03336,42.0143,1,0,49,17.0
319,LRC-2014-00157,1,-88.0644,41.66484,1,0,52,17.0
320,LRC-2014-00193,1,-87.98989,42.15705,0,1,12,17.0
321,LRC-2014-00262,1,-88.48439,42.01306,1,1,50,17.0
322,LRC-2014-00402,1,-88.159,41.477,1,1,52,17.0
323,LRC-2014-00409,1,-87.72585,41.97591,1,0,49,17.0
324,LRC-2014-00455,1,-87.87727,42.11995,1,0,49,17.0
325,LRC-2014-00490,1,-88.11584,41.60646,1,0,52,17.0
326,LRC-2014-00544,1,-88.52908,42.164,0,1,51,17.0
327,LRC-2014-00735,1,-87.86856,41.6305,1,1,49,17.0
328,LRC-2014-00775,1,-88.26705,41.83921,1,1,50,17.0
329,LRC-2015-00034,1,-87.95045,41.65007,1,1,49,17.0
330,LRC-2015-00123,1,-88.11878,41.7369,1,0,53,17.0
331,LRC-2015-00306,1,-88.10976,42.19927,1,0,12,17.0
332,LRC-2015-00322,1,-87.7434,41.4351,1,1,52,17.0
333,LRC-2015-00324,1,-87.67709,42.0678,1,0,49,17.0
334,LRC-2015-00334,1,-87.9303,42.151,0,1,49,17.0
335,LRC-2015-00355,1,-87.38492,41.4081,1,0,12,18.0
336,LRC-2015-00364,1,-87.67804,41.42585,0,1,52,17.0
337,LRC-2015-00398,1,-87.90138,42.07242,1,1,49,17.0
