jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland
RAPANOS,MVK-2016-00584-TB,Vicksburg,"New Albany/071416/Union County Airport Jet A Fuel Facilities and New Terminal Building, Union County, Mississippi",-89.02283,34.54654,8/2/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00586-CR,Vicksburg,"Tensas Parish Police Jury/070816/ Request for Review of Street Improvement Project, Tensas Parish, Louisiana",-91.34057,32.00383,7/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00589-TB,Vicksburg,"City of Jackson/071116/Demolition Project for Lots 6 thru 16 Along Florence Avenue, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00590-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 903 Myrtlewood Drive, Hinds County, Mississippi",-90.44285,32.26656,8/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00591-TB,Vicksburg,"City of Jackson/071116/Demolition Project  at 5450 Queen Mary Lane, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00592-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 494 Eminence Row, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00593-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 2893 Greenview Drive, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00594-TB,Vicksburg,"City of Jackson/71116/Demolition Project at 180 Red Oak Street, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00595-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 2000 Belvedere Drive, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00596-TB,Vicksburg,"City of  Jackson/071116/Demolition Project at 3520 Edwards Avenue, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00597-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 561 Hickory Ridge Drive, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00598-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 1318 Weeks Street, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00599-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 453 Rockdale Drive, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00600-TB,Vicksburg,"City of Jackson/071116/Demolition Project at Lots 6 and 7 of 209 Taft Street, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00603-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 1350 Perkins Street, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00604-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 1611 Woodburn Street, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00605-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 757 Lawrence Road, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00606-TB,Vicksburg,"City of Jackson/071116/Demolition Project at 3003 Downing Street, Hinds County, Mississippi",-90.44285,32.26656,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00615-CR,Vicksburg,"Town of Homer/071416/ Request for Review of Proposed Wastewater Collection System Improvements Project, Claiborne Parish, Louisiana",-93.06534,32.78586,9/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00618-TB,Vicksburg,"FEMA/071816/Project REC PW 140, Issaquena County Cat C, Will Grade and Replace Road Surface Aggregate at Multiple  Locations to Pre-Disaster Condition, Issaquena County, Mississippi",-91.01951,32.80156,8/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00623-TB,Vicksburg,"Chad H. Parks/071916/Requesting a Wetland Determination on 5 Acres Located in Section 13, T17N-R9E, Richland Parish, Louisiana",-91.49209,32.45288,8/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00625-CR,Vicksburg,"SMEPA/072016/ Request for Review of 2.9-Acre Proposed Cloverdale Substation, Adams County, Mississippi",-91.41157,31.51583,10/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00631-CR,Vicksburg,"FEMA/072016/ REC PW 147, Sunflower County Road and Culvert Replacements, Sunflower County, Mississippi ",-90.63784,33.63081,8/2/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00632-TB,Vicksburg,"FEMA/072016/Project REC PW 85-Leake County, Repaired 3 Sections of Damaged Roads to Pre-Disaster Condition, Leake County, Mississippi",-89.4245,32.77493,8/1/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00640-CR,Vicksburg,"Culkin Water District/072216/ Request for Review of Proposed Expansion to Existing Water Treatment Facility, Warren County, Mississippi",-90.68766,32.39978,8/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00641-CR,Vicksburg,"Shreveport Airport Authority/072216/ Request for Environmental Review of Proposed Construction of Runway 14 Taxiway Extension, Caddo Parish, Louisiana",-93.74847,32.54388,8/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00642-TB,Vicksburg,"FEMA/072216/Tunica County-Road Repairs to Pre-Disaster Condition at Four Sites, Tunica County, Mississippi",-90.40334,34.43705,8/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00644-CR,Vicksburg,"City of Madison/080116/ Request for Review of Proposed Water Storage Tank Construction, Madison County, Mississippi ",-90.12918,32.46361,8/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00645-TB,Vicksburg,"FEMA/072216/Project REC PW 158, Marion County-Proposed Repairs to Roads and Bridges to Pre-Disaster Condition at 8 Sites, Marion County, Mississippi",-89.85638,31.32454,8/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00652-AHG,Vicksburg,"FEMA/072216/Request for Permit Authorization, Repairs for Roads and Bridges, Sunflower County, Collins, Mississippi",-90.66886,33.38776,8/5/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00655-TB,Vicksburg,"North Little Rock/072516/Request for a Wetland Determination on a Site Where an Ambulatory Surgery Center will be Constructed, Pulaski County, Arkansas",-92.21463,34.79393,8/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00659,Vicksburg,"Jimmy Walker/072516/Demolish House, New house, Parking Lot, Port Gibson, MS",-90.97229,31.96392,7/28/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00661-AHG,Vicksburg,"FEMA/072716/Request for Nationwide Permit, PW172, Road Repairs, Talahatchie County, Mississippi",-90.12724,33.95989,7/29/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RAPANOS,MVK-2016-00665-CR,Vicksburg,"408 Request/072816/ Review of Request by Ryman Busby to Install a 10-Inch Irrigation Well at Approximately 300 Feet from the Landslide Toe of the Right Descending Bank of the Mississippi River Levee, Madison Parish, Louisiana",-91.05289,32.24706,8/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
